Timestamp,Avg prompt throughput(tokens/s),Avg generation throughput(tokens/s),Running requests,Waiting requests,GPU KV cache usage(%),Prefix cache hit rate(%)
03-01 16:21:16,17.0,38.0,1,0,0.6,0.0
03-01 16:21:17,0.0,88.0,1,0,0.6,0.0
03-01 16:21:18,0.0,87.9,1,0,0.6,0.0
03-01 16:21:19,0.0,88.0,1,0,0.6,0.0
03-01 16:21:20,0.0,88.0,1,0,0.6,0.0
03-01 16:21:21,0.0,88.0,1,0,0.6,0.0
03-01 16:21:22,0.0,34.0,0,0,0.0,0.0
03-01 16:21:23,0.0,0.0,0,0,0.0,0.0
03-01 16:21:24,34.0,6.0,2,0,1.3,0.0
03-01 16:21:25,0.0,145.9,2,0,1.3,0.0
03-01 16:21:26,0.0,145.9,2,0,1.3,0.0
03-01 16:21:27,0.0,146.0,2,0,1.3,0.0
03-01 16:21:28,0.0,147.9,2,0,1.3,0.0
03-01 16:21:29,0.0,147.9,2,0,1.3,0.0
03-01 16:21:30,0.0,145.9,2,0,1.3,0.0
03-01 16:21:31,0.0,137.8,0,0,0.0,0.0
03-01 16:21:32,0.0,0.0,0,0,0.0,0.0
03-01 16:21:34,67.9,213.7,4,0,2.5,0.0
03-01 16:21:35,0.0,251.8,4,0,2.5,0.0
03-01 16:21:36,0.0,251.7,4,0,2.5,0.0
03-01 16:21:37,0.0,251.9,4,0,2.5,0.0
03-01 16:21:38,0.0,246.9,4,0,2.5,0.0
03-01 16:21:39,0.0,251.4,4,0,2.5,0.0
03-01 16:21:40,0.0,252.0,4,0,2.5,0.0
03-01 16:21:41,0.0,248.0,4,0,2.5,0.0
03-01 16:21:42,0.0,77.9,0,0,0.0,0.0
03-01 16:21:43,0.0,0.0,0,0,0.0,0.0
03-01 16:21:44,101.9,127.8,6,0,3.8,0.0
03-01 16:21:45,0.0,329.6,6,0,3.8,0.0
03-01 16:21:46,0.0,305.9,6,0,3.8,0.0
03-01 16:21:47,0.0,311.5,6,0,3.8,0.0
03-01 16:21:48,0.0,311.7,6,0,3.8,0.0
03-01 16:21:49,0.0,305.9,6,0,3.8,0.0
03-01 16:21:50,0.0,311.8,6,0,3.8,0.0
03-01 16:21:51,0.0,305.9,6,0,3.8,0.0
03-01 16:21:52,0.0,299.6,6,0,3.8,0.0
